timestep,node,curtailment
18,n3457,0.0
19,n3457,0.0
20,n3457,0.0
21,n3457,0.0
22,n3457,0.0
23,n3457,0.0
24,n3457,0.0
25,n3457,0.0
26,n3457,0.0
27,n3457,0.0
28,n3457,0.0
29,n3457,0.0
30,n3457,0.0
31,n3457,0.0
32,n3457,0.0
33,n3457,0.0
34,n3457,0.0
35,n3457,0.0
36,n3457,0.0
37,n3457,0.0
38,n3457,0.0
39,n3457,0.0
40,n3457,0.0
41,n3457,0.0
42,n3457,0.0
43,n3457,0.0
44,n3457,0.0
45,n3457,0.0
46,n3457,0.0
47,n3457,0.0
48,n3457,0.0
49,n3457,0.0
1,n3458,0.0
2,n3458,0.0
3,n3458,0.0
4,n3458,0.0
5,n3458,0.0
6,n3458,0.0
7,n3458,0.0
8,n3458,0.0
9,n3458,0.0
10,n3458,0.0
11,n3458,0.0
12,n3458,0.0
13,n3458,0.0
14,n3458,0.0
15,n3458,0.0
16,n3458,0.0
17,n3458,0.0
18,n3458,0.0
19,n3458,0.0
20,n3458,0.0
21,n3458,0.0
22,n3458,0.0
23,n3458,0.0
24,n3458,0.0
25,n3458,0.0
26,n3458,0.0
27,n3458,0.0
28,n3458,0.0
29,n3458,0.0
30,n3458,0.0
31,n3458,0.0
32,n3458,0.0
33,n3458,0.0
34,n3458,0.0
35,n3458,0.0
36,n3458,0.0
37,n3458,0.0
38,n3458,0.0
39,n3458,0.0
40,n3458,0.0
41,n3458,0.0
42,n3458,0.0
43,n3458,0.0
44,n3458,0.0
45,n3458,0.0
46,n3458,0.0
47,n3458,0.0
48,n3458,0.0
49,n3458,0.0
1,n3459,0.0
2,n3459,0.0
3,n3459,0.0
4,n3459,0.0
5,n3459,0.0
6,n3459,0.0
7,n3459,0.0
8,n3459,0.0
9,n3459,0.0
10,n3459,0.0
11,n3459,0.0
12,n3459,0.0
13,n3459,0.0
14,n3459,0.0
15,n3459,0.0
16,n3459,0.0
17,n3459,0.0
18,n3459,0.0
19,n3459,0.0
20,n3459,0.0
21,n3459,0.0
22,n3459,0.0
